Animal,NT,ASD,P(a),P(h),Lambda,Value
pig,0.0801699981728733,0.03605109748826478,0.5,0.5,6.0,2.223788005315787
pig,0.0801699981728733,0.03592940464573156,0.5,0.5,6.1000000000000005,2.2313199721331194
pig,0.0801699981728733,0.03580797713843508,0.5,0.5,6.2,2.238886543714348
pig,0.0801699981728733,0.03568681418736958,0.5,0.5,6.300000000000001,2.2464879535603766
pig,0.0801699981728733,0.03556592411520788,0.5,0.5,6.4,2.254123860613898
pig,0.0801699981728733,0.035445307280037586,0.5,0.5,6.5,2.2617944186373067
pig,0.0801699981728733,0.035324959701440645,0.5,0.5,6.6000000000000005,2.269500060310154
pig,0.0801699981728733,0.03520488493678517,0.5,0.5,6.7,2.277240738517643
pig,0.0801699981728733,0.03508509011314612,0.5,0.5,6.800000000000001,2.2850161682450465
fox,0.10948352011615956,0.049290117292627604,0.5,0.5,28.700000000000003,2.221206321465483
fox,0.10948352011615956,0.04926086249714778,0.5,0.5,28.8,2.2225254404041075
fox,0.10948352011615956,0.04923151984212054,0.5,0.5,28.900000000000002,2.2238500957772542
fox,0.10948352011615956,0.04920209855511513,0.5,0.5,29.0,2.225179887266769
fox,0.10948352011615956,0.04917259140742964,0.5,0.5,29.1,2.2265151577839633
fox,0.10948352011615956,0.04914301306721772,0.5,0.5,29.200000000000003,2.2278552592289818
fox,0.10948352011615956,0.04911334388771085,0.5,0.5,29.3,2.2292010979027337
fox,0.10948352011615956,0.04908359074764133,0.5,0.5,29.400000000000002,2.230552379084464
fox,0.10948352011615956,0.049053749179006095,0.5,0.5,29.5,2.231909322906883
fox,0.10948352011615956,0.049023835125418594,0.5,0.5,29.6,2.233271220745293
fox,0.10948352011615956,0.048993839517890686,0.5,0.5,29.700000000000003,2.2346385013605707
fox,0.10948352011615956,0.04896374728865876,0.5,0.5,29.8,2.2360118695718927
fox,0.10948352011615956,0.048933578948383016,0.5,0.5,29.900000000000002,2.237390406936041
fox,0.10948352011615956,0.04890332589046022,0.5,0.5,30.0,2.238774523462769
fox,0.10948352011615956,0.04887299005115408,0.5,0.5,30.1,2.2401641479591494
fox,0.10948352011615956,0.0488425728538776,0.5,0.5,30.200000000000003,2.2415592324282665
fox,0.10948352011615956,0.04881206776250738,0.5,0.5,30.3,2.2429600943939936
fox,0.10948352011615956,0.04878147995118768,0.5,0.5,30.400000000000002,2.244366514212203
fox,0.10948352011615956,0.048750806083640796,0.5,0.5,30.5,2.245778663194222
