Animal,NT,ASD,P(a),P(h),Lambda,Value
pig,0.0801699981728733,0.036058739305515425,0.01,0.99,28.8,2.2233167247921717
pig,0.0801699981728733,0.03593339595246495,0.01,0.99,28.900000000000002,2.231072127970522
pig,0.0801699981728733,0.03580839644972612,0.01,0.99,29.0,2.238860326667504
pig,0.0801699981728733,0.03568374526857844,0.01,0.99,29.1,2.246681158871166
pig,0.0801699981728733,0.035559438112334786,0.01,0.99,29.200000000000003,2.254535010356761
pig,0.0801699981728733,0.03543547197156167,0.01,0.99,29.3,2.2624221920118015
pig,0.0801699981728733,0.03531184688705519,0.01,0.99,29.400000000000002,2.2703428237355228
pig,0.0801699981728733,0.0351885707486087,0.01,0.99,29.5,2.2782965169462903
pig,0.0801699981728733,0.03506563697893293,0.01,0.99,29.6,2.286283811728234
fox,0.10948352011615956,0.0492706444833466,0.01,0.99,76.2,2.2220841895657526
fox,0.10948352011615956,0.04919909994011686,0.01,0.99,76.3,2.2253155088084626
fox,0.10948352011615956,0.04912761147012043,0.01,0.99,76.4,2.228553695974977
fox,0.10948352011615956,0.049056159361931743,0.01,0.99,76.5,2.2317996667533717
fox,0.10948352011615956,0.04898477706769802,0.01,0.99,76.60000000000001,2.235051921637838
fox,0.10948352011615956,0.04891342159425012,0.01,0.99,76.7,2.2383124416107005
fox,0.10948352011615956,0.04884210272125496,0.01,0.99,76.80000000000001,2.2415808086926376
fox,0.10948352011615956,0.048770833540610674,0.01,0.99,76.9,2.2448564473476638
fox,0.10948352011615956,0.04869962228190729,0.01,0.99,77.0,2.248138999567446
fox,0.10948352011615956,0.04862848460367789,0.01,0.99,77.10000000000001,2.251427759027454
fox,0.10948352011615956,0.048557348376589454,0.01,0.99,77.2,2.2547260873277817
fox,0.10948352011615956,0.04848626545418088,0.01,0.99,77.30000000000001,2.2580316114389256
fox,0.10948352011615956,0.048415239286513,0.01,0.99,77.4,2.2613441909943903
fox,0.10948352011615956,0.048344264659309584,0.01,0.99,77.5,2.2646640896848655
fox,0.10948352011615956,0.04827332694387949,0.01,0.99,77.60000000000001,2.2679920164491754
fox,0.10948352011615956,0.04820243269725115,0.01,0.99,77.7,2.2713276901147585
fox,0.10948352011615956,0.04813158586678452,0.01,0.99,77.80000000000001,2.2746709493258948
fox,0.10948352011615956,0.04806080075808593,0.01,0.99,77.9,2.278021139665253
fox,0.10948352011615956,0.04799005316384107,0.01,0.99,78.0,2.2813794296575565
fox,0.10948352011615956,0.04791934305033777,0.01,0.99,78.10000000000001,2.2847458488976056
fox,0.10948352011615956,0.047848680563118626,0.01,0.99,78.2,2.2881199403552324
whale,0.16448379763090076,0.07406001520581755,0.01,0.99,378.8,2.220952793133916
whale,0.16448379763090076,0.07395975248898967,0.01,0.99,378.90000000000003,2.223963603114915
whale,0.16448379763090076,0.07385986482529808,0.01,0.99,379.0,2.226971278920655
whale,0.16448379763090076,0.0737598331864444,0.01,0.99,379.1,2.229991453683624
whale,0.16448379763090076,0.073660173284688,0.01,0.99,379.20000000000005,2.2330085621057396
whale,0.16448379763090076,0.07356037319537094,0.01,0.99,379.3,2.2360381070123707
whale,0.16448379763090076,0.07346069755029958,0.01,0.99,379.40000000000003,2.239072090464107
whale,0.16448379763090076,0.07336113039778124,0.01,0.99,379.5,2.2421110026390143
whale,0.16448379763090076,0.07326194190582734,0.01,0.99,379.6,2.2451465706755656
whale,0.16448379763090076,0.07316259932659164,0.01,0.99,379.70000000000005,2.2481951043956085
whale,0.16448379763090076,0.07306364812307792,0.01,0.99,379.8,2.251239869022456
whale,0.16448379763090076,0.07296429205152265,0.01,0.99,379.90000000000003,2.254305400712351
whale,0.16448379763090076,0.07286556539224812,0.01,0.99,380.0,2.2573597932776015
